customer_id,order_date,order_time,sku,item_id,item_quantity,item_price,item_discount_raw,item_discount_percentage,item_disc_bins_item_disc_null,item_disc_bins_item_disc_sub_twenty,item_disc_bins_item_disc_sub_forty,item_disc_bins_item_disc_sub_sixty,item_disc_bins_item_disc_sub_eighty,item_disc_bins_item_disc_sub_hundred
4466,2022-10-08,14:20:14,BBW-WINE-419,Coppola Diamond Collection Zinfandel 2017,1,65.0,0.0,0.0,True,False,False,False,False,False
4466,2022-10-08,14:20:14,BBW-WINE-435,St. Francis Old Vine Zinfandel 2017,1,78.0,0.0,0.0,True,False,False,False,False,False
4466,2022-10-08,14:20:14,,Bura-Mrgudić Basina Tribidrag (Zinfandel) 2019,1,69.0,0.0,0.0,True,False,False,False,False,False
4466,2022-10-08,14:20:14,,Bedrock Wine Co. Old Vine Zinfandel 2020,1,74.0,0.0,0.0,True,False,False,False,False,False
4466,2022-10-08,14:20:14,BBW-WINE-362,Orin Swift Cellars 8 Years In The Desert 2019,1,119.0,0.0,0.0,True,False,False,False,False,False
4466,2022-10-08,14:20:14,,Cantine Feudi di San Marzano Cinquanta Collezione Vino Rosso N.V,1,69.0,0.0,0.0,True,False,False,False,False,False
4466,2022-10-08,14:20:14,,Grape Repulic,1,80.0,0.0,0.0,True,False,False,False,False,False
4466,2022-10-08,14:20:14,,Astro Bunny,1,69.0,0.0,0.0,True,False,False,False,False,False
4466,2022-10-08,14:20:14,,Muraglia Olive Oil - Octopus,1,79.0,0.0,0.0,True,False,False,False,False,False
4466,2022-10-08,14:20:14,,DeLoach Vineyards Russian River Valley Zinfandel 2018,1,67.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,,Broc Cellars The Badger Nero d'Avola 2019 - Single bottle,1,89.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,,Grape Republic Dela Fresca Frizzante 2020,1,74.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,,Cx,1,58.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,BBW-WINE-093,The Prisoner Saldo Zinfandel NV,2,82.0,0.0,0.0,True,False,False,False,False,False
4467,2022-09-24,11:13:31,,Pheasant’s Tears Gorulu Mtsvane 2019,1,62.0,0.0,0.0,True,False,False,False,False,False
