customer_id,order_date,order_time,item_id,item_quantity,item_price,item_discount_raw,item_discount_percentage,item_disc_bins_item_disc_null,item_disc_bins_item_disc_sub_twenty,item_disc_bins_item_disc_sub_forty,item_disc_bins_item_disc_sub_sixty,item_disc_bins_item_disc_sub_eighty,item_disc_bins_item_disc_sub_hundred
3419,2022-01-22,04:24:48,Anatolikos Fine Mavroudi of Thrace Red 2017,1,79.0,0.0,0.0,1,0,0,0,0,0
3419,2022-01-22,04:24:48,Luca Old Vine Malbec 2017,1,71.0,0.0,0.0,1,0,0,0,0,0
3419,2022-01-22,04:24:48,Bargylus Grand Vin de Syrie Rouge 2013,1,88.0,0.0,0.0,1,0,0,0,0,0
3420,2023-07-15,15:26:36,Borgogno No Name Langhe Nebbiolo DOC 2019,1,99.0,0.0,0.0,1,0,0,0,0,0
3420,2023-07-15,15:26:36,Rockford White Frontignac 2021,1,59.0,0.0,0.0,1,0,0,0,0,0
3421,2023-07-09,16:08:10,Rockford White Frontignac 2021,1,59.0,0.0,0.0,1,0,0,0,0,0
3421,2023-07-09,16:08:10,Loveblock Pinot Noir 2021,1,54.0,0.0,0.0,1,0,0,0,0,0
3421,2023-07-09,16:08:10,Tikves Temjanika Special Selection 2020,1,39.0,0.0,0.0,1,0,0,0,0,0
3421,2023-07-09,16:08:10,Donnafugata Dea Vulcano Etna Rosso DOC 2020,1,65.0,0.0,0.0,1,0,0,0,0,0
3421,2023-07-09,16:08:10,Ciù Ciù Lacrima di Morro D'Alba DOC 2020,1,55.0,0.0,0.0,1,0,0,0,0,0
3421,2023-07-09,16:08:10,Nocturne Rară Neagră 2020,1,65.0,0.0,0.0,1,0,0,0,0,0
3422,2022-04-16,16:19:47,Tinazzi Opera N°3 2019,1,68.0,0.0,0.0,1,0,0,0,0,0
3422,2022-04-16,16:19:47,Roccolo Grassi Valpolicella Classico Superiore DOC 2015,1,74.0,0.0,0.0,1,0,0,0,0,0
3422,2022-04-16,16:19:47,"Ascheri Barolo ""Blue Label"" DOCG 2017",1,98.0,0.0,0.0,1,0,0,0,0,0
3422,2022-04-16,16:19:47,Cesari Amarone Della Valpolicella Classico 2016,1,78.0,0.0,0.0,1,0,0,0,0,0
3423,2022-01-22,05:40:14,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3424,2022-01-22,05:29:51,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3425,2022-01-22,05:22:25,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3426,2022-01-22,05:11:44,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3427,2022-01-22,04:58:08,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3428,2022-01-22,04:50:15,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3429,2022-01-22,04:41:24,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3430,2022-01-22,04:32:24,Riecine Rosé IGT 2017,1,52.0,0.0,0.0,1,0,0,0,0,0
3431,2022-01-22,04:32:19,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3432,2022-01-22,04:20:57,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3433,2022-01-22,04:12:01,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3434,2022-01-22,04:00:21,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3435,2022-01-22,03:53:49,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3436,2022-01-22,03:43:45,Wine Virgin,1,44.0,0.0,0.0,1,0,0,0,0,0
3437,2023-07-07,19:19:53,Jean-Luc Baldès Clos Triguedina Malbec 2018,1,50.0,0.0,0.0,1,0,0,0,0,0
3437,2023-07-07,19:19:53,Blankbottle Aasvoel 2022,1,61.0,0.0,0.0,1,0,0,0,0,0
3438,2023-05-20,15:00:26,Catherine Marshall Fine Art Collection Grenache Noir 2022,1,69.0,0.0,0.0,1,0,0,0,0,0
3438,2023-05-20,15:00:26,Blankbottle Kortpad Kaaptoe Reserve 2020,1,58.0,0.0,0.0,1,0,0,0,0,0
3439,2023-03-11,18:21:24,Artemis Karamolegos Pyritis Mega Cuvée 2020,1,75.0,0.0,0.0,1,0,0,0,0,0
3440,2023-03-03,18:41:38,Louis Tete Cremant de Bourgogne Grande Reserve,1,44.0,0.0,0.0,1,0,0,0,0,0
3440,2023-03-03,18:41:38,Château Paul Mas Parcelle Belluguette Languedoc Blanc 2020,1,62.0,0.0,0.0,1,0,0,0,0,0
3441,2023-02-03,14:15:22,Château Caronne Ste Gemme 2015 Haut-Médoc,1,80.0,0.0,0.0,1,0,0,0,0,0
3441,2023-02-03,14:15:22,Champagne Gamet Brut Rosé NV,1,81.0,0.0,0.0,1,0,0,0,0,0
3442,2023-01-27,14:11:26,Château Beau-Site Saint-Estephe Cru Bourgeois 2016,1,81.0,0.0,0.0,1,0,0,0,0,0
3442,2023-01-27,14:11:26,Eikendal Brut Methode Cap Classique 2017,1,60.0,0.0,0.0,1,0,0,0,0,0
3443,2023-01-08,17:24:52,L’Ormarins Brut Classique,1,44.0,0.0,0.0,1,0,0,0,0,0
3444,2022-12-24,17:02:43,Abrau-Durso Blanc de Blancs Brut d’Or 2018,4,72.0,0.0,0.0,1,0,0,0,0,0
3444,2022-12-24,17:02:43,Anthonij Rupert Optima 2018 - 750ml,1,60.0,0.0,0.0,1,0,0,0,0,0
3444,2022-12-24,17:02:43,"First Drop ""Mother's Milk"" Barossa Shiraz 2021",1,59.0,0.0,0.0,1,0,0,0,0,0
3445,2022-12-21,14:19:22,Abrau-Durso Blanc de Blancs Brut d’Or 2018,6,72.0,0.0,0.0,1,0,0,0,0,0
3446,2022-12-18,18:24:23,Anthonij Rupert Optima 2018 - 750ml,3,60.0,0.0,0.0,1,0,0,0,0,0
3446,2022-12-18,18:24:23,Five Farms Irish Cream Liqueur,1,69.0,0.0,0.0,1,0,0,0,0,0
3446,2022-12-18,18:24:23,Ferdinand's Saar Quince,1,98.0,0.0,0.0,1,0,0,0,0,0
3447,2022-12-16,14:19:07,Abrau-Durso Blanc de Blancs Brut d’Or 2018,1,69.0,0.0,0.0,1,0,0,0,0,0
